device_id,latitude,longitude,accuracy,provider,timestamp_iso,timestamp_raw,received_at,raw_json
23,17.6709288,75.912116,20,u,2025-11-27T13:31:47+00:00,1764250307,2025-11-27T13:37:15.631272+00:00,"{""_type"": ""location"", ""_id"": ""5e68778e"", ""acc"": 20, ""alt"": 406, ""batt"": 27, ""bs"": 1, ""cog"": 76, ""conn"": ""m"", ""created_at"": 1764250535, ""lat"": 17.6709288, ""lon"": 75.912116, ""m"": 2, ""source"": ""fused"", ""t"": ""u"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764250307, ""vac"": 2, ""vel"": 1}"
23,17.6709305,75.912123,20,fused,2025-11-27T13:35:33+00:00,1764250533,2025-11-27T13:37:16.061993+00:00,"{""_type"": ""location"", ""_id"": ""75b78252"", ""acc"": 20, ""alt"": 406, ""batt"": 27, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764250536, ""lat"": 17.6709305, ""lon"": 75.912123, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764250533, ""vac"": 1, ""vel"": 0}"
23,17.6709306,75.9121219,20,fused,2025-11-27T13:35:39+00:00,1764250539,2025-11-27T13:37:16.110620+00:00,"{""_type"": ""location"", ""_id"": ""124202d0"", ""acc"": 20, ""alt"": 406, ""batt"": 27, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764250542, ""lat"": 17.6709306, ""lon"": 75.9121219, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764250539, ""vac"": 2, ""vel"": 0}"
23,17.6709296,75.912121,20,fused,2025-11-27T13:35:45+00:00,1764250545,2025-11-27T13:37:16.346465+00:00,"{""_type"": ""location"", ""_id"": ""6ab7eae5"", ""acc"": 20, ""alt"": 406, ""batt"": 27, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764250548, ""lat"": 17.6709296, ""lon"": 75.912121, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764250545, ""vac"": 2, ""vel"": 0}"
23,17.6710904,75.9119605,163,fused,2025-11-27T13:35:51+00:00,1764250551,2025-11-27T13:37:17.100847+00:00,"{""_type"": ""location"", ""_id"": ""52d5c0bc"", ""acc"": 163, ""alt"": 406, ""batt"": 27, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764250551, ""lat"": 17.6710904, ""lon"": 75.9119605, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764250551, ""vac"": 2, ""vel"": 0}"
23,17.6710904,75.9119605,199,fused,2025-11-27T13:35:57+00:00,1764250557,2025-11-27T13:37:17.173999+00:00,"{""_type"": ""location"", ""_id"": ""d3a366ff"", ""acc"": 199, ""alt"": 406, ""batt"": 27, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764250560, ""lat"": 17.6710904, ""lon"": 75.9119605, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764250557, ""vac"": 1, ""vel"": 0}"
23,17.6709299,75.9121173,20,fused,2025-11-27T13:36:03+00:00,1764250563,2025-11-27T13:37:17.262579+00:00,"{""_type"": ""location"", ""_id"": ""dce39216"", ""acc"": 20, ""alt"": 406, ""batt"": 27, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764250566, ""lat"": 17.6709299, ""lon"": 75.9121173, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764250563, ""vac"": 2, ""vel"": 0}"
23,17.6709298,75.9121205,20,fused,2025-11-27T13:36:09+00:00,1764250569,2025-11-27T13:37:17.286628+00:00,"{""_type"": ""location"", ""_id"": ""8f459b12"", ""acc"": 20, ""alt"": 406, ""batt"": 27, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764250572, ""lat"": 17.6709298, ""lon"": 75.9121205, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764250569, ""vac"": 3, ""vel"": 0}"
23,17.6710863,75.9119618,69,fused,2025-11-27T13:36:14+00:00,1764250574,2025-11-27T13:37:17.327507+00:00,"{""_type"": ""location"", ""_id"": ""4e152263"", ""acc"": 69, ""alt"": 406, ""batt"": 27, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764250574, ""lat"": 17.6710863, ""lon"": 75.9119618, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764250574, ""vac"": 3, ""vel"": 0}"
23,17.6710856,75.9119624,64,fused,2025-11-27T13:36:15+00:00,1764250575,2025-11-27T13:37:17.361374+00:00,"{""_type"": ""location"", ""_id"": ""1fcd7a6f"", ""acc"": 64, ""alt"": 406, ""batt"": 27, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764250575, ""lat"": 17.6710856, ""lon"": 75.9119624, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764250575, ""vac"": 3, ""vel"": 0}"
